T	a	b	c	d	e	f	g	h	i	j	k	l	m	n
2	0.564317354	0.592781867	0.517494665	0.579702046	0.137487373	0.509644837	0.788807734	0.413668486	0.323606516	0.998246125	0.830501649	0.164477181	0.233379676	0.142187124
2.1	0.755894472	0.259906562	0.574691769	0.917197067	0.440127689	0.066229771	0.628636997	0.394050874	0.671722091	0.341328233	0.050050226	0.199688435	0.107872535	0.101991024
2.4	0.962813862	0.386544513	0.469686813	0.381365679	0.98401332	0.65009661	0.394997907	0.917043115	0.719602218	0.089781807	0.080455421	0.977581922	0.382532951	0.505831538
2.33	0.462266524	0.578085326	0.673293315	0.827342009	0.986400104	0.823198786	0.58774964	0.081927507	0.977487782	0.693668472	0.235925858	0.205836827	0.524051783	0.307079487
2.12	0.726388865	0.695243565	0.565196904	0.690308243	0.253947383	0.783737257	0.035566975	0.318982028	0.802048482	0.441705929	0.187374308	0.471525717	0.751282387	0.146376439
5	0.25992508	0.89838181	0.969131401	0.022162685	0.222983507	0.88032868	0.390809865	0.642650811	0.786392541	0.663358062	0.137978036	0.554579862	0.743573488	0.374836037
4.44	0.341289309	0.166917555	0.68675409	0.92842728	0.926633428	0.905244364	0.581170679	0.647738121	0.916782993	0.404561804	0.878887479	0.975486695	0.687618075	0.057588812
3.65	0.787229534	0.867484917	0.811005745	0.630940676	0.386378401	0.484102023	0.98708875	0.188701675	0.169792291	0.60646601	0.993230945	0.571017992	0.631793883	0.21908183
2.9	0.529173409	0.799792946	0.460130894	0.787997516	0.738048306	0.280878199	0.756989588	0.41162655	0.180477982	0.071674085	0.291338441	0.616281704	0.184464763	0.532099533
12	0.574563405	0.083777895	0.448027904	0.597957808	0.460869123	0.028936689	0.908763874	0.423463576	0.969363644	0.116626414	0.060887811	0.670713662	0.614155975	0.198490074
